Card Name,Distribution Level,Amount,Loan Percentage Cost,Effect
Small Business Loan,Low,500000,5,Low interest loan for initial funding
Startup Capital Loan,Low,600000,5,Low interest loan for initial project expenses
New Venture Loan,Low,700000,5,Low interest loan for growing projects
Small Building Fund,Low,800000,5,Low interest loan for small construction projects
Retail Space Loan,Low,900000,5,Low interest loan for retail development
Office Project Loan,Low,1000000,5,Low interest loan for office renovation
Residential Renovation Loan,Low,1100000,5,Low interest loan for residential renovation
Commercial Space Loan,Low,1200000,5,Low interest loan for commercial properties
Small Multifamily Loan,Low,1300000,5,Low interest loan for small multifamily projects
Mixed-Use Development Loan,Low,1400000,5,Low interest loan for mixed-use development
Community Bank Loan,Low,500000,5,Low interest loan from community bank
Local Developer Funding,Low,600000,5,Low interest loan from local development group
Family Office Investment,Low,700000,5,Low interest funding from family office
Private Lender Loan,Low,800000,5,Low interest financing from private lender
Small Business Administration Loan,Low,900000,5,Low interest SBA backed loan
Local Credit Union Financing,Low,1000000,5,Low interest credit union loan
Regional Bank Loan,Low,1100000,5,Low interest regional bank financing
Project Seed Funding,Low,1200000,5,Low interest early project funding
Hometown Bank Loan,Low,1300000,5,Low interest hometown bank loan
Neighborhood Development Loan,Low,1400000,5,Low interest neighborhood development financing
Facade Improvement Loan,Low,500000,5,Low interest loan for building facade updates
Historic Preservation Loan,Low,600000,5,Low interest historic building renovation loan
Green Building Incentive Loan,Low,700000,5,Low interest loan for sustainable building features
Brownfield Redevelopment Loan,Low,800000,5,Low interest loan for brownfield site cleanup and development
Main Street Revitalization Loan,Low,900000,5,Low interest loan for main street property improvements
Urban Infill Development Loan,Low,1000000,5,Low interest loan for urban infill projects
Affordable Housing Loan,Low,1100000,5,Low interest loan for affordable housing components
Mixed-Income Development Loan,Low,1200000,5,Low interest loan for mixed-income projects
Transit-Oriented Development Loan,Low,1300000,5,Low interest loan for transit-adjacent development
Adaptive Reuse Loan,Low,1400000,5,Low interest loan for adaptive reuse projects
Mid-Size Development Loan,Medium,1500000,10,Medium interest loan for larger development projects
Commercial Construction Loan,Medium,1750000,10,Medium interest loan for commercial construction
Mid-Market Office Loan,Medium,2000000,10,Medium interest loan for office building development
Community Center Financing,Medium,2250000,10,Medium interest loan for community center construction
Mid-Size Retail Complex Loan,Medium,2500000,10,Medium interest loan for retail development
Multifamily Housing Loan,Medium,2750000,10,Medium interest loan for multifamily housing
Class B Office Renovation Loan,Medium,1500000,10,Medium interest loan for Class B office renovation
Mid-Market Hotel Loan,Medium,1750000,10,Medium interest loan for hotel development
Medical Office Building Loan,Medium,2000000,10,Medium interest loan for medical office space
Professional Office Building Loan,Medium,2250000,10,Medium interest loan for professional offices
Shopping Plaza Loan,Medium,2500000,10,Medium interest loan for shopping plaza development
Restaurant Development Loan,Medium,2750000,10,Medium interest loan for restaurant space
Warehouse Conversion Loan,Medium,1500000,10,Medium interest loan for warehouse conversions
Industrial Park Loan,Medium,1750000,10,Medium interest loan for industrial park development
Entertainment Venue Loan,Medium,2000000,10,Medium interest loan for entertainment venues
Sports Facility Loan,Medium,2250000,10,Medium interest loan for sports facilities
Assisted Living Facility Loan,Medium,2500000,10,Medium interest loan for assisted living development
Education Building Loan,Medium,2750000,10,Medium interest loan for educational facilities
Cultural Center Loan,Medium,1500000,10,Medium interest loan for cultural centers
Tourism Development Loan,Medium,1750000,10,Medium interest loan for tourism-related projects
Major Project Financing,High,3000000,15,High interest loan for major development projects
Luxury Development Loan,High,3250000,15,High interest loan for luxury real estate development
Class A Office Building Loan,High,3500000,15,High interest loan for Class A office construction
Mixed-Use Tower Financing,High,3750000,15,High interest loan for high-rise mixed-use development
Urban Mega-Project Loan,High,4000000,15,High interest loan for urban mega-projects
High-Rise Condominium Loan,High,3000000,15,High interest loan for high-rise condominiums
Major Retail Development Loan,High,3250000,15,High interest loan for major retail centers
Convention Center Loan,High,3500000,15,High interest loan for convention center development
Airport Expansion Loan,High,3750000,15,High interest loan for airport-related development
Stadium Development Loan,High,4000000,15,High interest loan for stadium projects