Card Name,Distribution Level,Amount,Return Percentage,Return Timeframe,Effect,Investor Description
Local Developer Investment,Low,$4000000,5,3,Gain $4M now and earn 5% return after 3 turns,Local real estate developer seeking to diversify portfolio
Low,$4500000,Tech entrepreneur looking for tangible investments
Low,$5000000,Family office interested in long-term stable returns
Low,$5500000,Private equity firm specializing in urban development
Low,$6000000,Retired CEO investing personal wealth
Low,$6500000,Foreign investment group exploring US market
Low,$7000000,Consortium of local businesses supporting community growth
Low,$7500000,Green energy fund investing in sustainable projects
Low,$4000000,Angel investor network pooling resources
Low,$4500000,Hospitality chain expanding into new markets
Low,$5000000,Hedge fund diversifying into real estate
Low,$5500000,Philanthropic foundation with focus on urban renewal
Low,$6000000,Professional sports team owner branching into development
Low,$6500000,Celebrity entrepreneur building personal brand
Low,$7000000,Sovereign wealth fund seeking stable US investments
Low,$7500000,Healthcare REIT expanding portfolio
Low,$4000000,Crowdfunding platform aggregating small investors
Low,$4500000,University endowment fund diversifying investments
Low,$5000000,Insurance company investing surplus funds
Low,$5500000,Venture capital firm exploring built environment tech
Medium,$8000000,Major bank's real estate investment arm
Medium,$8500000,International construction conglomerate
Medium,$9000000,Tech giant investing in smart city initiatives
Medium,$9500000,National pension fund seeking long-term stable returns
Medium,$10000000,Luxury goods company expanding into branded residences
Medium,$8000000,Energy company diversifying into real estate
Medium,$8500000,Automotive manufacturer investing in future mobility hubs
Medium,$9000000,Media conglomerate creating entertainment districts
Medium,$9500000,Aerospace company developing vertiport infrastructure
Medium,$10000000,E-commerce giant investing in logistics real estate
Medium,$8000000,Global hotel chain funding mixed-use developments
Medium,$8500000,Social media company creating collaborative workspaces
High,$10500000,Major league sports association developing sports districts
High,$11000000,Global investment bank's real estate fund
High,$11500000,International airport operator expanding commercial holdings
High,$12000000,Multinational tech consortium building smart city
High,$10500000,National railway company developing transit-oriented projects
High,$11000000,Global theme park operator expanding into urban entertainment
High,$11500000,International expo committee funding legacy project